"word","freq"
"government",15
"students",14
"university",14
"japan",13
"japanese",12
"political",12
"women",11
"forest",10
"like",10
"teachers",10
"universities",10
"academic",9
"commission",9
"yunus",9
"economic",8
"education",8
"one",8
"rights",8
"adviser",7
"can",7
"chief",7
"daily",7
"groups",7
"must",7
"rangamati",7
"two",7
"world",7
"acres",6
"case",6
"freedom",6
"future",6
"got",6
"interim",6
"ishiba",6
"last",6
"mostly",6
"part",6
"reported",6
"star",6
"support",6
"according",5
"administration",5
"authorities",5
"bnp",5
"change",5
"countries",5
"dhaka",5
"doe",5
"even",5
"happen",5
"individuals",5
"institutions",5
"latest",5
"leader",5
"may",5
"nation",5
"new",5
"opinion",5
"prof",5
"public",5
"religion",5
"saw",5
"stop",5
"success",5
"vcs",5
"years",5
"action",4
"answer",4
"article",4
"classes",4
"continued",4
"department",4
"efforts",4
"environment",4
"equal",4
"ever",4
"filed",4
"follow",4
"land",4
"least",4
"now",4
"open",4
"partnership",4
"pass",4
"recommendations",4
"reform",4
"regime",4
"remove",4
"set",4
"shrimp",4
"sonadia",4
"started",4
"taken",4
"talk",4
"time",4
"actions",3
"already",3
"always",3
"appointed",3
"area",3
"asked",3
"assistance",3
"august",3
"bangladeshi",3
"business",3
"came",3
"certain",3
"chattogram",3
"cleared",3
"commissions",3
"country",3
"decided",3
"ensure",3
"ensuring",3
"every",3
"fear",3
"free",3
"friday",3
"grabbers",3
"grabbing",3
"hasina",3
"high",3
"highway",3
"immediately",3
"including",3
"indo",3
"inheritance",3
"invest",3
"island",3
"july",3
"landslides",3
"legal",3
"made",3
"mangrove",3
"months",3
"national",3
"nations",3
"office",3
"pacific",3
"power",3
"provided",3
"recently",3
"relevant",3
"report",3
"reportedly",3
"resources",3
"road",3
"see",3
"several",3
"south",3
"spent",3
"student",3
"teams",3
"technology",3
"temporarily",3
"tokyo",3
"transition",3
"use",3
"various",3
"vice",3
"visit",3
"way",3
"whose",3
"working",3
"youth",3
"absence",2
"access",2
"across",2
"activities",2
"administrative",2
"advanced",2
"affairs",2
"affected",2
"ago",2
"agreement",2
"almost",2
"along",2
"analyses",2
"appointments",2
"artificial",2
"attacked",2
"away",2
"backbone",2
"based",2
"bridge",2
"called",2
"career",2
"chance",2
"changes",2
"chattagram",2
"china",2
"chinese",2
"college",2
"combat",2
"come",2
"commentaries",2
"commitment",2
"concerned",2
"conclude",2
"consequences",2
"construction",2
"contribute",2
"contribution",2
"cooperation",2
"course",2
"court",2
"crab",2
"create",2
"critical",2
"crucial",2
"culture",2
"days",2
"debris",2
"deepseek",2
"demand",2
"demanding",2
"democracy",2
"democratic",2
"destruction",2
"didn",2
"discrimination",2
"dismissal",2
"due",2
"duty",2
"easily",2
"editor",2
"effort",2
"emboldened",2
"encroachment",2
"endeavour",2
"engineering",2
"enjoy",2
"especially",2
"evidence",2
"experts",2
"expressed",2
"expression",2
"face",2
"facebook",2
"fall",2
"famous",2
"far",2
"farming",2
"field",2
"fire",2
"focus",2
"foreign",2
"four",2
"fully",2
"get",2
"girls",2
"given",2
"group",2
"guidelines",2
"halting",2
"hate",2
"hatred",2
"hefazat",2
"held",2
"however",2
"huge",2
"illegal",2
"incidents",2
"included",2
"independence",2
"intelligence",2
"inventing",2
"know",2
"korea",2
"lane",2
"lead",2
"leaders",2
"leadership",2
"led",2
"left",2
"letter",2
"light",2
"linked",2
"lives",2
"local",2
"management",2
"matter",2
"members",2
"men",2
"merely",2
"minister",2
"muhammad",2
"nearly",2
"necessary",2
"never",2
"official",2
"officials",2
"online",2
"opinions",2
"osd",2
"parties",2
"pave",2
"politicised",2
"politics",2
"prepared",2
"preparing",2
"press",2
"prime",2
"priorities",2
"priority",2
"pro",2
"professionals",2
"publicly",2
"quality",2
"rainfall",2
"rallies",2
"rather",2
"real",2
"recorded",2
"recruitment",2
"regardless",2
"region",2
"remain",2
"reports",2
"research",2
"resumed",2
"return",2
"safety",2
"say",2
"saying",2
"scholar",2
"scholarships",2
"school",2
"seek",2
"seems",2
"seizing",2
"sense",2
"sheets",2
"sheikh",2
"shigeru",2
"shows",2
"silence",2
"since",2
"situation",2
"soon",2
"sought",2
"stability",2
"stand",2
"statement",2
"steel",2
"strength",2
"studies",2
"submission",2
"succeed",2
"surprised",2
"swiftly",2
"system",2
"systems",2
"taiwan",2
"take",2
"teacher",2
"ten",2
"terminal",2
"though",2
"thought",2
"three",2
"today",2
"took",2
"top",2
"total",2
"trade",2
"uphold",2
"uprising",2
"ups",2
"upstaging",2
"urged",2
"vietnam",2
"views",2
"voices",2
"well",2
"whole",2
"writing",2
"yet",2
"young",2
"aasha",1
"ability",1
