href,aria_label
https://www.thedailystar.net/news/bangladesh/diplomacy/news/bangladesh-japan-concluding-epa-soon-boost-economic-trade-ties-3907396,"Bangladesh, Japan for concluding EPA soon to boost economic, trade ties "
https://www.thedailystar.net/opinion/views/the-third-view/news/nation-we-are-not-focused-education-3906796,"As a nation, we are not focused on education "
https://www.thedailystar.net/environment/climate-crisis/natural-disaster/news/heavy-rainfall-triggers-landslides-rangamati-3907421,Heavy rainfall triggers landslides in Rangamati 
https://www.thedailystar.net/opinion/editorial/news/save-sonadia-islands-mangrove-forests-3907236,Save Sonadia Island’s mangrove forests 
https://www.thedailystar.net/opinion/views/no-strings-attached/news/the-interim-governments-silence-over-misogyny-tragic-3906816,The interim government’s silence over misogyny is tragic 
https://www.thedailystar.net/opinion/views/news/budget-must-reflect-rights-based-approach-disability-3906781,Budget must reflect a rights-based approach to disability 
https://www.thedailystar.net/opinion/editorial/news/indias-impunity-the-border-must-end-3906651,India’s impunity at the border must end 
https://www.thedailystar.net/opinion/views/news/nadira-yeasmin-transfer-dangerous-surrender-3906501,Nadira Yeasmin's transfer: A dangerous surrender 
https://www.thedailystar.net/business/news/cancer-drugs-insulin-get-cheaper-nbr-plans-tax-cuts-3907081,"Cancer drugs, insulin to get cheaper as NBR plans tax cuts "
https://www.thedailystar.net/business/news/foreign-debt-repayment-surges-25-3907076,Foreign debt repayment surges 25% 
https://www.thedailystar.net/business/news/69-overwhelmed-excessive-vat-essentials-3907071,69% overwhelmed by ‘excessive’ VAT on essentials 
https://www.thedailystar.net/business/news/duty-free-threshold-bank-deposits-may-rise-tk-3-lakh-3907066,Duty-free threshold for bank deposits may rise to Tk 3 lakh 
https://www.thedailystar.net/business/news/eid-cattle-sales-slow-start-3907056,Eid cattle sales off to  a slow start 
https://www.thedailystar.net/sports/cricket/news/bulbul-set-become-bcb-boss-today-3907251,Bulbul set to become BCB boss today 
https://www.thedailystar.net/sports/football/news/eiffel-tower-set-sparkle-psgs-big-european-night-3907321,Eiffel Tower set to sparkle for PSG's big European night 
https://www.thedailystar.net/sports/football/news/police-deploy-en-masse-paris-champions-league-final-3907286,Police to deploy en masse in Paris for Champions League final 
https://www.thedailystar.net/sports/cricket/news/cracks-apparent-what-can-tigers-do-about-it-3906761,"Cracks apparent, what can Tigers do about it? "
https://www.thedailystar.net/sports/football/news/after-2-months-40-witnesses-maradona-trial-scrapped-3907231,"After 2 months, 40 witnesses, Maradona trial scrapped "
https://www.thedailystar.net/sports/more-sports/athletics/news/natl-junior-athletics-begins-today-3907166,Nat’l Junior Athletics begins today 
https://www.thedailystar.net/news/bangladesh/crime-justice/news/madrasa-students-body-recovered-rangpur-3907371,Madrasa student’s body recovered in Rangpur 
https://www.thedailystar.net/news/bangladesh/accidents-fires/news/child-drowns-septic-tank-gazipur-3907346,Child drowns in septic tank in Gazipur 
https://www.thedailystar.net/my-dhaka/news/shah-jahans-dhaka-campaign-mughal-history-footnote-3903506,Shah Jahan’s Dhaka campaign: A Mughal history footnote! 
https://www.thedailystar.net/top-news/news/walls-eye-view-diary-neighbourhood-3901696,A wall’s eye-view diary of a neighbourhood 
https://www.thedailystar.net/entertainment/news/esports-the-digital-arena-thats-redefining-entertainment-3907311,Esports: the digital arena that's redefining entertainment 
https://www.thedailystar.net/entertainment/music/news/miley-cyrus-drops-ninth-studio-album-something-beautiful-3907226,Miley Cyrus drops ninth studio album ‘Something Beautiful’ 
https://www.thedailystar.net/entertainment/theatre-arts/news/banksy-reveals-new-graffiti-cryptic-message-sparks-global-hunt-3907221,"Banksy reveals new graffiti with cryptic message, sparks global hunt "
https://www.thedailystar.net/entertainment/tv-film/news/netflix-tops-tv-charts-squid-game-adolescence-3907216,"Netflix tops TV charts with 'Squid Game', 'Adolescence' "
https://www.thedailystar.net/entertainment/tv-film/news/ten-young-filmmakers-screen-debut-shorts-shilpakala-today-3907196,Ten young filmmakers to screen debut shorts at Shilpakala today 
https://www.thedailystar.net/entertainment/tv-film/news/tanjin-tisha-dighi-and-chamak-unite-eid-web-thriller-hide-n-seek-3907191,"Tanjin Tisha, Dighi and Chamak unite for Eid web thriller ‘Hide N Seek’ "
https://www.thedailystar.net/entertainment/theatre-arts/news/bipasha-hayat-selected-prestigious-art-intensive-bogota-2025-3906746,Bipasha Hayat selected for prestigious Art Intensive Bogotà 2025 
https://www.thedailystar.net/life-living/news/why-dumb-phones-are-making-smart-comeback-2025-3906536,Why ‘dumb’ phones are making a smart comeback in 2025 
https://www.thedailystar.net/life-living/news/cable-car-coxs-bazar-revolutionary-or-risky-ride-3905656,Cable car in Cox’s Bazar: Revolutionary or a risky ride? 
https://www.thedailystar.net/life-living/news/bangladesh-prepared-google-pays-digital-leap-3905641,Is Bangladesh prepared for Google Pay's digital leap? 
https://www.thedailystar.net/life-living/relationships-family/news/screen-time-really-harming-our-teens-3903841,Is screen time really harming our teens? 
https://www.thedailystar.net/life-living/fashion-beauty/news/bangladeshs-konika-shines-miss-world-2025-3903831,Bangladesh's Konika shines at Miss World 2025 
https://www.thedailystar.net/life-living/news/another-bangladeshi-makes-it-2025-forbes-list-3902941,Sayed Zubaer Hasan’s journey: How a farmer’s son made it to Forbes 30 Under 30 
https://www.thedailystar.net/life-living/news/personalise-your-kitchen-custom-design-elements-3902946,Modern and trendy ways to design a kitchen  
https://www.thedailystar.net/youth/young-icons/global-achievements/news/beyond-the-summit-nishats-climb-was-never-just-about-everest-3906706,Beyond the Summit: Nishat’s climb was never just about Everest 
https://www.thedailystar.net/rising-stars/news/what-it-takes-get-top-us-universities-3905516,What it takes to get into top US universities 
https://www.thedailystar.net/rising-stars/explained/news/tariffs-and-trade-wars-explained-3907091,Tariffs and trade wars: Explained 
https://www.thedailystar.net/rising-stars/interests/news/should-you-consider-spaying-or-neutering-your-pet-3907096,Should you consider spaying or neutering your pet? 
https://www.thedailystar.net/campus/education/news/skip-classes-lose-your-visa-us-warns-international-students-3905276,"Skip classes, lose your visa: US warns international students "
https://www.thedailystar.net/campus/education/news/the-end-asian-students-bound-us-anxious-about-visa-freeze-3906621,‘Is this the end?’: Asian students bound for US anxious about visa freeze 
https://www.thedailystar.net/campus/education/news/appointments-us-student-visa-halted-3905076,Appointments for US student visa halted 
https://www.thedailystar.net/tech-startup/news/more-5000-mobile-towers-shut-down-due-bad-weather-3907246,"More than 5,000 mobile towers shut down due to bad weather "
https://www.thedailystar.net/tech-startup/news/iphone-17-air-leak-reveals-ultra-slim-55-mm-body-3906576,iPhone 17 Air leak reveals ultra-slim 5.5 mm body 
https://www.thedailystar.net/tech-startup/news/student-led-edtech-joins-four-global-startup-hubs-3906436,Student-led edtech joins four global startup hubs 
https://www.thedailystar.net/tech-startup/news/deepseek-quietly-updates-its-r1-reasoning-model-3906271,DeepSeek quietly updates its R1 reasoning model 
https://www.thedailystar.net/tech-startup/news/salesforce-acquire-data-management-firm-informatica-8-billion-3905246,Salesforce to acquire data management firm Informatica for $8 billion 
https://www.thedailystar.net/tech-startup/news/nationwide-crackdown-begins-online-gambling-and-betting-3904846,Nationwide crackdown begins on online gambling and betting 
https://www.thedailystar.net/tech-startup/news/india-unveils-locally-developed-weather-forecast-system-3905551,India unveils locally developed weather forecast system 
https://www.thedailystar.net/books-literature/news/ngugi-wa-thiongo-renowned-kenyan-author-and-literary-icon-dies-87-3906866,"Ngũgĩ wa Thiong’o, renowned Kenyan author and literary icon, dies at 87 "
https://www.thedailystar.net/books-literature/news/women-rage-and-what-burns-unseen-3906011,"Of women, rage, and what burns unseen "
https://www.thedailystar.net/books-literature/news/kaleidoscopic-collection-stories-outsider-3906006,A kaleidoscopic collection of stories by an outsider 
https://www.thedailystar.net/books-literature/news/three-songs-kazi-nazrul-islam-3901661,Three Songs: Kazi Nazrul Islam 
https://www.thedailystar.net/books-literature/news/vivisection-cat-3901676,Vivisection of a cat 
https://www.thedailystar.net/books-literature/news/human-translation-will-continue-despite-machines-interview-v-ramaswamy-3900346,"‘Human translation will continue, despite machines’:  An interview with V. Ramaswamy "
https://www.thedailystar.net/books-literature/news/indian-author-wins-international-booker-story-collection-3899671,Indian author wins International Booker for story collection 
https://www.thedailystar.net/books-literature/news/betwixt-and-between-tales-nepali-indian-girlhood-3900361,Betwixt and between: Tales from a Nepali-Indian girlhood 
https://www.thedailystar.net/news/bangladesh/transport/news/launch-service-suspended-barishal-second-consecutive-day-3907261,Launch service suspended in Barishal for second consecutive day 
https://www.thedailystar.net/news/bangladesh/news/deep-depression-weakening-heavy-rains-continue-across-bangladesh-3907206,"Deep depression weakening, heavy rains to continue across Bangladesh "
https://www.thedailystar.net/environment/wild-life/news/guardians-the-blue-3907006,Guardians of the blue 
https://www.thedailystar.net/environment/weather/news/depression-bay-rain-tidal-surge-flood-coastal-areas-3906521,"Depression in Bay: Rain, tidal surge flood coastal areas "
https://www.facebook.com/dailystarnews,facebook-f
https://www.youtube.com/channel/UCKSJ5rTXq-pYgAmAOhVS_zQ,youtube
http://twitter.com/dailystarnews,twitter
https://www.pinterest.com/thedailystar,pinterest
https://www.instagram.com/dailystar_bd/,instagram
