href,aria_label
https://en.prothomalo.com//,Prothom alo
https://en.prothomalo.com//search,Prothom alo search
https://en.prothomalo.com//api/auth/v1/oauth/authorize?client_id=811&response_type=code&redirect_uri=/api/auth/v1/oauth/token&callback_uri=/,avatar icon
https://en.prothomalo.com/bangladesh,Bangladesh
https://en.prothomalo.com/international,International
https://en.prothomalo.com/sports,Sports
https://en.prothomalo.com/opinion,Opinion
https://en.prothomalo.com/business,Business
https://en.prothomalo.com/youth,Youth
https://en.prothomalo.com/entertainment,Entertainment
https://en.prothomalo.com/lifestyle,Lifestyle
https://en.prothomalo.com/collection/claim-vs-fact,Claim vs Fact
https://www.prothomalo.com,Prothom alo
https://en.prothomalo.com/bangladesh/politics/8itmnjnojh,No point in repeatedly highlighting national issues abroad: Amir Khasru
https://en.prothomalo.com/bangladesh/politics/8itmnjnojh,Title link
https://en.prothomalo.com/bangladesh/politics/8itmnjnojh,BNP standing committee member Amir Khasru Mahmud Chowdhury said on Friday there is no point in repeatedly discussing the country’s problems abroad.
https://en.prothomalo.com/bangladesh/m809jmm6jy,Expatriates' remittance helps Bangladesh make turnaround: Chief Adviser
https://en.prothomalo.com/bangladesh/m809jmm6jy,Title link
https://en.prothomalo.com/bangladesh/m809jmm6jy,"Recalling the contribution of Bangladeshi expatriates to nation building, Chief Adviser Muhammad Yunus on Friday said the expatriates help Bangladesh make a turnaround from ruins"
https://en.prothomalo.com/bangladesh/politics/4q19es82se,Left Democratic Alliance demands election by December
https://en.prothomalo.com/bangladesh/politics/4q19es82se,Title link
https://en.prothomalo.com/bangladesh/politics/4q19es82se,"The government is trying to delay the election, to implement the American agenda and to politically favour a new party formed with state backing."
https://en.prothomalo.com/bangladesh/city/0kb170y11o,"Homes under waist deep water, slum dwellers take shelter under flyover"
https://en.prothomalo.com/bangladesh/city/0kb170y11o,Title link
https://en.prothomalo.com/bangladesh/city/0kb170y11o,"Some houses are submerged under waist deep water while some are nearly chest-deep underwater. So, several hundred have taken refuge under the Kalshi flyover."
https://en.prothomalo.com/bangladesh/tubpzwcvri,Interim govt protects Jamaat’s interests: Ganatantrik Odhikar Committee
https://en.prothomalo.com/bangladesh/tubpzwcvri,Acquittal of ATM Azhar
https://en.prothomalo.com/bangladesh/politics/876tq9cx1o,Not true that no party wants elections in December other than one: Gono Forum
https://en.prothomalo.com/bangladesh/politics/876tq9cx1o,Title link
https://en.prothomalo.com/opinion/op-ed/9rlff8f5j1,The crucial task of nation-building that Zia carried out
https://en.prothomalo.com/opinion/op-ed/9rlff8f5j1,Opinion
https://en.prothomalo.com/opinion/op-ed/9rlff8f5j1,Every year this day arrives with a new message for the people. The people learn new lessons from the life and work of Ziaur Rahman.
https://en.prothomalo.com/bangladesh/politics/rrohsv0y2s,No election will be held if it is not held in December: Mirza Abbas
https://en.prothomalo.com/bangladesh/politics/rrohsv0y2s,Title link
https://en.prothomalo.com/bangladesh/politics/rrohsv0y2s,Mirza Abbas also remarked that the interim government will never achieve the kind of reforms introduced by Ziaur Rahman during his rule.
https://en.prothomalo.com/bangladesh/i7vwypimtu,"Rough sea, 4 ships crash into shore in Chattogram"
https://en.prothomalo.com/bangladesh/i7vwypimtu,Title link
https://en.prothomalo.com/bangladesh/i7vwypimtu,Four ships crashed into the shore due to the rough Bay of Bengal amid squally weather at Patenga and Anwara coasts Thursday night.
https://en.prothomalo.com/bangladesh/politics/rejvrda8ob,What is in NCP's framework for poll-time govt?
https://en.prothomalo.com/bangladesh/politics/rejvrda8ob,Title link
https://en.prothomalo.com/business/local/jv0hb6ntus,Google Pay to launch in Bangladesh within next month: Asif Mahmud
https://en.prothomalo.com/business/local/jv0hb6ntus,Title link
https://en.prothomalo.com/sports/cricket/ettnpxcdz6,Aminul Islam becomes new BCB president
https://en.prothomalo.com/sports/cricket/ettnpxcdz6,Title link
https://en.prothomalo.com/bangladesh/politics/kfwreflpmf,Gonotontro Moncho rejects attempts to pit 2024 against 1971
https://en.prothomalo.com/bangladesh/politics/kfwreflpmf,Title link
https://en.prothomalo.com/bangladesh/politics/5q1ldo2fsh,Clear roadmap must be given for election by December: Salahuddin Ahmed
https://en.prothomalo.com/bangladesh/politics/5q1ldo2fsh,Title link
https://en.prothomalo.com/bangladesh/politics/8gad5kryme,A particular party wants elections in December
https://en.prothomalo.com/bangladesh/politics/8gad5kryme,Chief advisor in Japan
https://en.prothomalo.com/sports/cricket/wgaclxrfk1,No confidence in Faruque: They too can be accused of ‘copy-paste’ allegations
https://en.prothomalo.com/sports/cricket/wgaclxrfk1,Title link
https://en.prothomalo.com/business/j8mh2n5ala,"Japan to provide Bangladesh with USD 1.06 billion loan, confirms press secretary"
https://en.prothomalo.com/business/j8mh2n5ala,Title link
https://en.prothomalo.com/video/j8hz8n58ui,Aminul Islam arrives at Mirpur to take charge as BCB president
